Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0xced2121058d0ac8c931e061a263b441b9de56b9b,79787.81901,79679.27084,0,0,0,0
0x84d5922ff253e7287b642091f5803df28a7e39aa,79606.10184,79606.10184,0,0,0,0
0xa4e097962c395b27399b326f16ed4d9466138aa9,79478.07881,79478.07881,0,0,0,0
0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,79045.00094,79045.00094,0,0,0,0
0xddeb3a5d35984014b732e71ac99f622fae483544,77534.17749,77534.17749,0,0,0,0
0xce0adbb76a8ce7224bec6b586e18743aeb03250a,77233.07663,77233.07663,0,0,0,0
0xbc154c448a2db5b164854e3e00b693a89ceb5ca1,72867.03493,43512.8275,28467.04939,0,0,0
0x69daa47f4773121d58e28d73d4afaa6a2ad7b9cd,72440.3778,72440.3778,0,0,0,0
0x7eaac1748de6e99bcdab7f06731065edc90e6bac,71180.27083,71180.27083,0,0,0,0
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,70235.01876,40880.81132,28467.04939,0,0,0
0x0905b0aca8a0b271071da96790145386d9388fa6,68920.01324,68920.01324,0,0,0,0
0xb0e83c2d71a991017e0116d58c5765abc57384af,67886.93056,37056.10295,28467.04939,0,0,0
0x3eeb02dcf25be9a7ebc473221b6b9dc76abe6bf3,66438.75128,66438.75128,0,0,0,0
0xf5c063c58670b27e6a9fa97a20dc5bbbc493dcb3,64227.03793,64227.03793,0,0,0,0
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,63848.83408,63848.83408,0,0,0,0
0xb5aeb3871b5897cfe24393c866137974d4e2cc9f,63133.50295,45703.39449,18978.03293,0,0,0
0x12fdda0fdc960eeadf164c1183a8b16dab3b8034,62892.76493,62892.76493,0,0,0,0
0x22fa8cc33a42320385cbd3690ed60a021891cb32,61586.56562,61478.01746,0,0,0,0
0xb03aeac789533514c7df885e0d930d5eecb400ec,60659.06765,43885.23482,18978.03293,0,0,0
0x5309aac198c88a7eb770244887cdf051e1155a88,60554.50208,60554.50208,0,0,0,0
0x67c42dc01ef85f278bd0fed66d5b49413649ad8d,56561.70668,56561.70668,0,0,0,0
0x659418bbb855c18f9253acbccc20b40051fee6b2,55861.44685,55861.44685,0,0,0,0
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,54867.69184,24857.20877,28467.04939,0,0,0
0xf14b1a6098036cb4f3d867b0145785f98c998988,54661.72713,54661.72713,0,0,0,0
0x26e547a9f3fd90e49a9a85a91001ca3f7ba2c81d,53083.70721,23729.49978,28467.04939,0,0,0
0xec0297f0a72286c92e826e3b55bd61ad31986dfe,52272.69824,22918.4908,28467.04939,0,0,0
0xeea1cba569adfb4a4d12f65f2987e8c89c05a1e5,50633.36714,50633.36714,0,0,0,0
0x90d26c3805030a05c7fdd89326a4a2a99cbade31,50467.81641,50467.81641,0,0,0,0
0xec4f600564fc13720b7fd9512cbb5128e27ab67c,50281.49395,50281.49395,0,0,0,0
0x365bd827c68d5de0e2bfa5871dc0ecaaf074d5ab,50226.25865,50226.25865,0,0,0,0
0x185c4206eb32949af2a9faf3aab8edc81e84b73a,49857.36011,49857.36011,0,0,0,0
0x8b85e47d939dd97e1c873c65e7a8c7925d8cf184,49518.08862,49409.54045,0,0,0,0
0x24d19f100ba142543a863fc2294b188e35ab55b9,48755.1122,48755.1122,0,0,0,0
0xcb4755ea7c0c05b6041c2a58f07bd922a37401fd,47986.18137,47986.18137,0,0,0,0
0xd000fa10efcdc734af5e4e3433ce0e75f220549d,47611.314,47611.314,0,0,0,0
0x270042a7623a90e6ebe6ae6e3263d61896b46906,47422.44786,47313.89969,0,0,0,0
0x169efe5ffa1011fd90ee8438785e49066ed8ed31,47336.21799,17982.01056,28467.04939,0,0,0
0xd783947ce4924147f35b319bd247ee628e7fb0be,46080.65088,16726.44344,28467.04939,0,0,0
0xe58ce76deb798fd45fc4ecfb9a49f406e7ffc948,44553.63424,44553.63424,0,0,0,0
0x8da35b920fe236a757a0fad93d3a3ab8ea0a24cc,44451.2003,15096.99286,28467.04939,0,0,0
0x8540f80fab2afcae8d8fd6b1557b1cf943a0999b,44190.46747,14179.9844,28467.04939,0,0,0
0x7cb71635162db9282554d7a9b808e8dea2bf55cb,43577.65969,42320.62916,0,0,0,0
0x1c1cc870115fdf86288cf38556c4da441699a0e2,43350.2189,26576.38608,18978.03293,0,0,0
0x46f6b1d519a5bdaf10d49e135c9f611c9bd126e9,41729.93868,41729.93868,0,0,0,0
0xcd1979aff68edea19c7a8aadbe56d9fd1f3fbeb6,41601.63366,12247.42622,28467.04939,0,0,0
0xe615f2e4ecb9cd2689f3d08772f6adbfe9ec8ac1,41344.36532,41344.36532,0,0,0,0
0x743cf4edd1ccb68c99070b5c6659ffccbfc7c129,39591.70523,39591.70523,0,0,0,0
0x3a11f4c84688a1264690d696d8d807a25ee02dd2,39227.25301,39227.25301,0,0,0,0
0xed9c851aadf96d4ff2fab2433bc4aa111babc15e,38794.30399,38794.30399,0,0,0,0
0x5f1e1d96a59781ba6ef90b6724df11ae53c29bef,38498.41339,38498.41339,0,0,0,0
0xf7a35c03501ebfca006b0072d7e153fa505008a2,37885.73223,37885.73223,0,0,0,0
0xb81a0e6c38c3fec8a171cfe9631f60127a0c5bfd,37558.07953,20784.24671,18978.03293,0,0,0
0x0ddc793680ff4f5793849c8c6992be1695cbe72a,36949.85863,36949.85863,0,0,0,0
0xd43990f7ab8edca4689c177e9d40c5d763999988,36215.28281,36215.28281,0,0,0,0
0x12d3d411d010891a88bff2401bd73fa41fb1316e,35960.33275,6606.12531,28467.04939,0,0,0
0x4fde2196d2d4fcb7a23cf333be20849ce498db2c,35930.58274,35930.58274,0,0,0,0
0x5db8e9605de5cd567293518fca840536a5ac3a91,35585.47705,6231.269616,28467.04939,0,0,0
0x44e24b004bcf1124fbf2719a650dd8f2a3341d2c,35464.38343,35464.38343,0,0,0,0
0xe4d9ef3f930d1b172b2d3c631e4b7f5c15fe8e53,34781.88789,34781.88789,0,0,0,0
0x187318f330e9e6e8a560b44a62577b5ff0e6bc1e,34665.68168,25622.48964,11861.27058,0,0,0
0xbcafdd642118e5536024675e776d32413728dd08,34604.41252,0,28467.04939,0,0,0
0x773d161310d07cafc6f767ca24f43e52163b9be6,34549.39049,5195.183058,28467.04939,0,0,0
0x86b0e61da44411442fe4c782f8557e0a6f560973,34123.04826,34123.04826,0,0,0,0
0x1d2bcdfb26319d1f5919aa66b105ae972946b9fe,33734.58931,33734.58931,0,0,0,0
0xd1a229aafb92bb065d495be603d76ee51c4200a0,33670.38899,33561.84083,0,0,0,0
0xae653682dee958914a82c9628de794dcbbee3d04,33623.23071,3612.747633,28467.04939,0,0,0
0xbbe6495f5de6805c3e28bd66b26ad2076c006dc8,33555.44714,4201.239708,28467.04939,0,0,0
0x7c363e4650ca88e4676f1ce2ac6f2dd50c102198,33435.84893,4081.641495,28467.04939,0,0,0
0x8f688a91695f7d2a1e93e57cedcbf5c5202f617b,33044.53851,3034.055441,28467.04939,0,0,0
0xb4522eb2ca49963de9c3dc69023cbe6d53489c98,32530.9757,305.5623535,28467.04939,0,0,0
0x8c39b7cb82b9d791adcc9387098944b635c17b32,32458.09304,2119.472149,28467.04939,0,0,0
0x8a532d4bfaf828e45cca14fe8b1f4976b105fa6f,32402.00196,32402.00196,0,0,0,0
0x8f291a5ce15e31e295fe8667236d734252a60ec3,32380.65852,32380.65852,0,0,0,0
0x5ff85ecf773ea3885cb4b691068ab6d7bf8bda9a,32370.60265,32370.60265,0,0,0,0
0xd08933750bffb86861d1d76e559382658ef4d762,32339.02157,32339.02157,0,0,0,0
0x2e32935bfd5b2718f99bc8fdf8b37c16811f7d97,32189.28073,2835.073296,28467.04939,0,0,0
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,32172.33749,2818.13005,28467.04939,0,0,0
0x0090a9de17938f949203dbc00221ae1086de78d8,31741.08654,31741.08654,0,0,0,0
0xa01d3d567bf666b292ca02f25e6fb37a6a55008e,31583.57066,31583.57066,0,0,0,0
0x1f677edd538bf444c9fdb99931cc6f9a7a53f7bc,31581.07575,31581.07575,0,0,0,0
0x753fa0b27abd046b2a4dc77515294d241a1a90fe,31545.89444,31545.89444,0,0,0,0
0x5fb6e7e6cd299449a02fe47cccd5cb70ff9dc632,31527.9972,2173.789766,28467.04939,0,0,0
0x84ab6aeda45c85b910c363a454c5c0e93d8691a2,31527.77959,2173.57215,28467.04939,0,0,0
0x59b070fa414cb3e1952ac3d622fddfad804cc069,31493.2551,31493.2551,0,0,0,0
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,31454.31739,2100.109957,28467.04939,0,0,0
0x1d1c6be4ea347d1a684a0df351fedd8ad6771ac0,31447.48602,31447.48602,0,0,0,0
0xfdbbfb0fe2986672af97eca0e797d76a0bbf35c9,31438.81867,1100.197778,28467.04939,0,0,0
0xa5e8eb3fe57369bcda21c376b18d07a236d54ffd,31252.18269,1897.975254,28467.04939,0,0,0
0x98265d92b016df8758f361fb8d2f9a813c82494a,31240.99989,0,28467.04939,0,0,0
0x2425f7f9e92e8b8709162f244146f4915aff3d2f,31158.96543,0,28467.04939,0,0,0
0xb0f4b88d29667607e88198a12e6b19700b08abf1,31076.93098,0,28467.04939,0,0,0
0x2f45724d7e384b38d5c97206e78470544304887f,30983.32635,972.8432768,28467.04939,0,0,0
0x05e09d942505764bca4475abf8efdbc21d1c535b,30933.26122,1579.053788,28467.04939,0,0,0
0x92532bf9fef6fb291621b664598f7b0699897542,30757.75711,30757.75711,0,0,0,0
0x0692ee6b5c88870da8105afeaa834a20091a29ff,30533.4343,194.8134082,28467.04939,0,0,0
0x0013cefc104698bb40d574e2ae6c822d5d52cff3,30528.01426,30528.01426,0,0,0,0
0xc93678ec2b974a7ae280341cefeb85984a29fff7,30502.6898,0,28467.04939,0,0,0
0x5f3becdb2a0257d6bf6d52f851efc84547ef2ac8,30497.33753,1143.130092,28467.04939,0,0,0
0xeb4e17f4b6a9490ee3579c0f1edf144868f2753c,30410.75026,72.12936716,28467.04939,0,0,0
0xb1ec171401c914b437d331994b328ac01d904671,30375.17718,36.55628591,28467.04939,0,0,0
0x527abbd3b14eaec4a5539b9186d18e71d0f6d816,30370.63121,32.01031793,28467.04939,0,0,0
0xbf3c106331cca10e7a31ea421543eaa3a74ebad7,30370.20231,31.58142144,28467.04939,0,0,0
0xe519f4cd2803ba53a40e6377e82406e548418660,30341.78531,3.164423791,28467.04939,0,0,0
0x08fdf0107a7d7e77b0f5e5a664ac49a93257c851,30338.62089,0,28467.04939,0,0,0
0x0960da039bb8151cacfef620476e8baf34bd9565,30338.62089,0,28467.04939,0,0,0
0x0e457324f0c6125b20392341cdeb7bf9bcb02322,30338.62089,0,28467.04939,0,0,0
0x13b3a50f3947476eda74fe191344524e2d2d28e5,30338.62089,0,28467.04939,0,0,0
0x1617ad25e010d693404cac8ff81f8180f5ae3c83,30338.62089,0,28467.04939,0,0,0
0x280bf69d522bbcfb3aeb138c59d85a16e449057c,30338.62089,0,28467.04939,0,0,0
0x2d95c2f99df13b6d30f01841bd7278976759f44b,30338.62089,0,28467.04939,0,0,0
0x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,30338.62089,0,28467.04939,0,0,0
0x3df71df678720133f30cfefd7430f60beabd7e64,30338.62089,0,28467.04939,0,0,0
0x4be670ee941d277bdb16281ce5b0136e9a8743c5,30338.62089,0,28467.04939,0,0,0
0x4d1dcf15acbc0b69aed7b0d87bda5cbc66c48184,30338.62089,0,28467.04939,0,0,0
0x4d928359e8556197f161f4927a928dfde9c3d1a8,30338.62089,0,28467.04939,0,0,0
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,30338.62089,0,28467.04939,0,0,0
0x6b3c77026d2002eeede5243768059197a3dcdaf9,30338.62089,0,28467.04939,0,0,0
0x6c833b726cd5a6f6f6b3321cc8f444b625199fe2,30338.62089,0,28467.04939,0,0,0
0x802a26952a2095a5986674937c9c43f37807b380,30338.62089,0,28467.04939,0,0,0
0x87e6888935180a9b27a9b48b75c9b779bfec1f76,30338.62089,0,28467.04939,0,0,0
0x933258bddd49beeca77f6d1889633c5429af45ea,30338.62089,0,28467.04939,0,0,0
0x9e51bb6841fe9d6fbc7bcc9bafb67d65767ceb32,30338.62089,0,28467.04939,0,0,0
0xa3d05108450caa759535ea9ba1483844a2418ad3,30338.62089,0,28467.04939,0,0,0
0xab45160c38e9781347fad728b7331e2601812198,30338.62089,0,28467.04939,0,0,0
0xb1776c152080228214c2e84e39a93311ff3c03c1,30338.62089,0,28467.04939,0,0,0
0xde208627b38b9795284efcc14d8b8c313462876a,30338.62089,0,28467.04939,0,0,0
0xde699bedf464a7ae064fd2be99f9f2c1d1a17c89,30338.62089,0,28467.04939,0,0,0
0xdeeb758e147ea422e6bad89bcfafabfac0527949,30338.62089,0,28467.04939,0,0,0
0xe3c09691dacb8086288daa66104e3b4682d76bb5,30338.62089,0,28467.04939,0,0,0
0xe61ed4d6722396334ab7589760f0bff5656142eb,30338.62089,0,28467.04939,0,0,0
0xe965484ba4250c446779d4703f1598dc2ea00d12,30338.62089,0,28467.04939,0,0,0
0xef42253884aac0a5df6efdc5fd04ac3cb1f485fd,30338.62089,0,28467.04939,0,0,0
0xf3ae3bbdeb2fb7f9c32fbb1f4fbdaf1150a1c5ce,30338.62089,0,28467.04939,0,0,0
0xf73374c8d5691e2a8733bd997ec28282bfd8bfd4,30338.62089,0,28467.04939,0,0,0
0xf8e95aa8434b7f16113f3d5119a4464ddd2e8d81,30338.62089,0,28467.04939,0,0,0
0xf93357310634869fc4ad6cf1f8bc074b47bf32b4,30338.62089,0,28467.04939,0,0,0
0xff357c416ce671c1e64d3d560f2221b1110b1afc,30338.62089,0,28467.04939,0,0,0
0xc34efe5150dc9cbd89ce3be1fbd2fb12ffc7af39,30326.29383,315.8107575,28467.04939,0,0,0
0x24405d6859919937ed9a680b697f5e4d73ea8e66,30216.66569,30216.66569,0,0,0,0
0xf85385347f56819c316939434d427d0c9537eddc,30212.93354,202.4504718,28467.04939,0,0,0
0x7d2ab9ca511ebd6f03971fb417d3492aa82513f0,30174.55198,0,28467.04939,0,0,0
0xc29d294b9c254d20ba7e20923f31a8fe91d4faeb,30174.55198,0,28467.04939,0,0,0
0x41954b53cfb5e4292223720cb3577d3ed885d4f7,30112.15325,757.9458181,28467.04939,0,0,0
0xeabffea3a1fb27d17a7961a65517dec30b93ec99,30101.81817,30101.81817,0,0,0,0
